Id,SalePrice
1461,121257.82385257432
1462,173262.7213908608
1463,178121.20041141304
1464,188819.8086914183
1465,195758.28633090234
1466,171189.21620272173
1467,170174.67294275874
1468,167273.17735289282
1469,188303.98676781857
1470,123503.70900846996
1471,207879.284560775
1472,97281.27872304348
1473,101210.90489370999
1474,155902.38232076552
1475,142403.63401749902
1476,404260.96181795036
1477,253751.93708669188
1478,293221.17680205096
1479,283642.56400812406
1480,511039.6665540756
1481,341590.6732118345
1482,199426.93642102776
1483,168952.50236361942
1484,176728.79222640552
1485,173035.70948940597
1486,196003.70417390502
1487,384863.1544746548
1488,252135.73704755728
1489,191331.65075924416
1490,214260.25287342203
1491,190644.31157352313
1492,92076.61843182774
1493,174074.9608689868
1494,298535.3320506785
1495,282812.83342899516
1496,232313.76149084952
1497,179615.53931800654
1498,162965.56908855686
1499,163024.78286338164
1500,148975.24772781922
1501,168610.11136033008
1502,161667.2177239913
1503,284771.0196398353
1504,237262.33560074805
1505,224674.93568691463
1506,186935.81248938807
1507,234708.90336167297
1508,200560.49312511532
1509,160431.21704027092
1510,145391.74095008321
1511,141513.7967410059
1512,173951.88995261703
1513,153606.7312361723
1514,169682.7198945239
1515,211529.2275854008
1516,164074.40262610494
1517,161038.06263008527
1518,134069.87929667087
1519,225781.59535298572
1520,133124.43793179299
1521,135636.51591218027
1522,165649.59570089032
1523,111132.17692000027
1524,119623.34380680519
1525,122750.65298454915
1526,131447.26564394947
1527,109585.25919016651
1528,125183.88503535623
1529,148892.35363905446
1530,165200.38908432607
1531,123120.00587792364
1532,103363.01714802964
1533,143679.14783671926
1534,115166.72351244913
1535,159739.06951515918
1536,111706.73358638068
1537,74369.46746907406
1538,183350.2900362666
1539,226288.85855039238
1540,101918.2191229687
1541,137719.12980791173
1542,140451.29059109165
1543,211206.35393065438
1544,82244.40284113308
1545,103789.35185944171
1546,124724.32097088835
1547,130108.36878478288
1548,120937.62206271006
1549,106720.4776540319
1550,142960.67218919052
1551,111673.05963870113
1552,154041.11559237147
1553,150786.30611920054
1554,104965.10662584027
1555,167792.54519443872
1556,81072.6758911597
1557,107890.3750624793
1558,100887.43136156703
1559,99215.10804221143
1560,133372.70921918371
1561,160602.5779978748
1562,127208.87706104778
1563,119392.59016697663
1564,150618.62062966218
1565,145285.7245796419
1566,217902.39177269436
1567,84382.21396284827
1568,230614.1514706896
1569,141472.0555134004
1570,134380.61555675577
1571,126421.28667747203
1572,146576.46022835132
1573,241460.10459208098
1574,124724.34186935221
1575,217740.28027532488
1576,207183.45424669815
1577,193377.91837249597
1578,150845.87777559462
1579,145652.8387699356
1580,188929.4017988938
1581,147928.31002924556
1582,127048.80389365062
1583,324308.42393612454
1584,221184.88508573658
1585,140998.8149310228
1586,80423.74831932974
1587,103164.99085374015
1588,149352.39933775621
1589,97047.6305205197
1590,133829.65517521184
1591,99766.70690167948
1592,117267.58797696115
1593,130420.47604362476
1594,160995.36320626838
1595,114927.03213323475
1596,245236.3743098922
1597,194230.96972825614
1598,194324.18221583441
1599,185837.3855146791
